AC	ID	DE	AU	SE	SS	GA	TC	NC	TP	BM	CB	SM	DR	RN	RM	RT	RA	RL	WK	SQ	CC	PI	CL	**
RF02521	Virus_CITE_7	Pea enation mosaic virus-2 cap-independent translation element	Eberhardt R; 0000-0001-6152-1369	Eberhardt R	Predicted; PMID:23682606	80.00	105.80	33.80	Cis-reg;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0005836; regulatory_region;	[1]	23682606	3' Cap-Independent Translation Enhancers of Plant Viruses.	Simon AE, Miller WA	Annu. Rev. Microbiol. 2013;0:0-0.	Cap-independent_translation_element	2				
RF00276	SNORD52	Small nucleolar RNA SNORD52	Moxon SJ; 0000-0003-4644-1816	Moxon SJ, INFERNAL	Predicted; PFOLD; Moxon SJ, Daub J	45.00	46.30	44.10	Gene; snRNA; snoRNA; CD-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 23 -Z 549862.597050 CM SEQDB	SO; 0000593; C_D_box_snoRNA;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;;snoopy; Mus_musculus300615;;snoopy; Takifugu_rubripes300021;	[1];[2]	12215523;8674114	Purified box C/D snoRNPs are able to reproduce site-specific;2'-O-methylation of target RNA in vitro.;Site-specific ribose methylation of preribosomal RNA: a novel function for;small nucleolar RNAs.	Galardi S, Fatica A, Bachi A, Scaloni A, Presutti C, Bozzoni I;Kiss-Laszlo Z, Henry Y, Bachellerie JP, Caizergues-Ferrer M, Kiss T	Mol Cell Biol 2002;22:6663-6668.;Cell 1996;85:1077-1088.	Small_nucleolar_RNA_SNORD52	20	U52 belongs to the C/D class of snoRNA which contain the C (UGAUGA) and D;(CUGA) box motifs. Most of the members of the box C/D family function in;directing site-specific 2'-O-methylation of substrate RNAs [1].	U52	CL00063	
RF00878	mir-456	microRNA mir-456	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	58.00	58.20	35.80	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000341;;SO; 0001244; pre_miRNA;;GO; 0016442; RISC complex;;GO; 0035195; gene silencing by miRNA;	[1];[2];[3];[4]	16750530;18256158;15937218;30423142	Identification of microRNAs from different tissues of chicken embryo and;adult chicken.;MicroRNA profile of Marek's disease virus-transformed T-cell line MSB-1:;predominance of virus-encoded microRNAs.;The developmental miRNA profiles of zebrafish as determined by small RNA;cloning.;miRBase: from microRNA sequences to function.	Xu H, Wang X, Du Z, Li N;Yao Y, Zhao Y, Xu H, Smith LP, Lawrie CH, Watson M, Nair V;Chen PY, Manninga H, Slanchev K, Chien M, Russo JJ, Ju J, Sheridan R, John;B, Marks DS, Gaidatzis D, Sander C, Zavolan M, Tuschl T;Kozomara A, Birgaoanu M, Griffiths-Jones S	FEBS Lett. 2006;580:3610-3616.;J Virol. 2008;82:4007-4015.;Genes Dev. 2005;19:1288-1293.;Nucleic Acids Res. 2019;47:D155.	MicroRNA	9				
RF01196	snoZ30a	Small nucleolar RNA Z30a	Wilkinson A; 0000-0001-7406-0151	Predicted; WAR; Wilkinson A	Predicted; WAR; Wilkinson A	80.00	83.10	34.10	Gene; snRNA; snoRNA; CD-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 18 -Z 549862.597050 CM SEQDB	URL; http://snoopy.med.miyazaki-u.ac.jp/view.cgi?id=DRO30015;;SO; 0001263; ncRNA_gene;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;	[1]	11842100	The Schizosaccharomyces pombe mgU6-47 gene is required for;2'-O-methylation of U6 snRNA at A41.	Zhou H, Chen YQ, Du YP, Qu LH	Nucleic Acids Res. 2002;30:894-902.	Small_nucleolar_RNA	10				
RF00044	Phage_pRNA	Bacteriophage pRNA	Finn RD; 0000-0001-8626-2148	Finn RD	Predicted; ILM	40.00	61.90	35.90	Gene;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0000655; ncRNA;	[1];[2];[3];[4];[5];[6]	12206459;11562164;11130079;10957642;3107124;2125049	Structure and function of phi29 hexameric RNA that drives the viral DNA;packaging motor: review.;Cryoelectron-microscopy image reconstruction of symmetry mismatches in;bacteriophage phi29.;Structure of the bacteriophage phi29 DNA packaging motor.;Purification, crystallization and initial X-ray analysis of the head-tail;connector of bacteriophage phi29.;A small viral RNA is required for in vitro packaging of bacteriophage phi;29 DNA.;Phylogenetic analysis and secondary structure of the Bacillus subtilis;bacteriophage RNA required for DNA packaging.	Guo P;Morais MC, Tao Y, Olson NH, Grimes S, Jardine PJ, Anderson DL, Baker TS,;Rossmann MG;Simpson AA, Tao Y, Leiman PG, Badasso MO, He Y, Jardine PJ, Olson NH,;Morais MC, Grimes S, Anderson DL, Baker TS, Rossmann MG;Badasso MO, Leiman PG, Tao Y, He Y, Ohlendorf DH, Rossmann MG, Anderson D;Guo PX, Erickson S, Anderson D;Bailey S, Wichitwechkarn J, Johnson D, Reilly BE, Anderson DL, Bodley JW	Prog Nucleic Acid Res Mol Biol 2002;72:415-472.;J Struct Biol 2001;135:38-46.;Nature 2000;408:745-750.;Acta Crystallogr D Biol Crystallogr 2000;56:1187-1190.;Science 1987;236:690-694.;J Biol Chem 1990;265:22365-22370.	Bacteriophage_pRNA	3	During replication of linear dsDNA viruses, the viral genome is packaged;into the pre-formed viral procapsid. The packaging of DNA into the;procapsid requires a molecular motor which using ATP as energy to;accomplish the energetically unfavourable motion. In some bacteriophage,;an RNA (pRNA) molecule is a vital component of this motor [1]. Structural;analyses of the packaging motor have demonstrated that the pRNA molecule;has fivefold symmetry when attached to the prohead [2-4]. The pRNA is;thought to be bound by the capsid connector protein (PFAM:PF05352) [4].;Only the first 120 bases of the pRNA are essential for packing the viral;DNA [5,6]. The pRNA is proposed to be comprised of two domains, one;corresponding to the first 120 bases and the second to the remaining 50;bases [6]. Nuclear cleavage occurs in the single strand region linking;these two domains [6].			
RF02713	MCS4	Mycoplasma sRNA MCS4	Quinones-Olvera N; 0000-0002-4612-6819	Quinones-Olvera N	Published; PMID:9498566	56.00	56.10	53.50	Gene; sRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 50.00 -Z 549862.597050 --mxsize;128 CM SEQDB	SO; 0001263; ncRNA_gene;	[1];[2];[3]	7687343;9498566;14527727	A small RNA of Mycoplasma capricolum that resembles eukaryotic U6 small;nuclear RNA.;Probing the secondary structure of MCS4 RNA of Mycoplasma capricolum.;Distribution of the MCS4 RNA genes in mycoplasmas belonging to the;Mycoplasma mycoides cluster.	Ushida C, Muto A;Ushida C, Sasamura S, Muto A;Ushida C, Yoshida A, Miyakawa Y, Ara Y, Muto A	Nucleic Acids Res. 1993;21:2649-2653.;J Biochem. 1997;122:1202-1207.;Gene. 2003;314:149-155.	Mycoplasma	5	Abundant, small RNA of unknown function, found only in Mycoplasma.;Extensive sequence similarity to eukaryotic U6 snRNAs.			
RF03407	MIR531	MIR531 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	70.00	73.80	68.60	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000607;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	2	This family represents the microRNA (miRNA) precursor MIR531 imported from;miRBase.			
RF01350	CRISPR-DR41	CRISPR RNA direct repeat element	Wilkinson A; 0000-0001-7406-0151	Predicted; WAR; Wilkinson A	Predicted; WAR; Wilkinson A	36.00	36.20	35.90	Gene; CRISPR;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	URL; http://crispr.u-psud.fr/crispr/CRISPRHomePage.php;;SO; 0001459; CRISPR;;GO; 0006952; defense response;	[1]	17521438	The CRISPRdb database and tools to display CRISPRs and to generate;dictionaries of spacers and repeats.	Grissa I, Vergnaud G, Pourcel C	BMC Bioinformatics. 2007;8:172.	CRISPR	2				
RF00282	SNORD48	Small nucleolar RNA SNORD48	Moxon SJ; 0000-0003-4644-1816	Moxon SJ, INFERNAL	Predicted; PFOLD; Moxon SJ	36.00	36.20	34.70	Gene; snRNA; snoRNA; CD-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0000593; C_D_box_snoRNA;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;;snoopy; Mus_musculus300616;;snoopy; Loxodonta_africana300453;	[1];[2]	12215523;8674114	Purified box C/D snoRNPs are able to reproduce site-specific;2'-O-methylation of target RNA in vitro.;Site-specific ribose methylation of preribosomal RNA: a novel function for;small nucleolar RNAs.	Galardi S, Fatica A, Bachi A, Scaloni A, Presutti C, Bozzoni I;Kiss-Laszlo Z, Henry Y, Bachellerie JP, Caizergues-Ferrer M, Kiss T	Mol Cell Biol 2002;22:6663-6668.;Cell 1996;85:1077-1088.	Small_nucleolar_RNA_SNORD48	8	U48 belongs to the C/D class of snoRNA which contain the C (UGAUGA) and D;(CUGA) box motifs. Most of the members of the box C/D family function in;directing site-specific 2'-O-methylation of substrate RNAs [1].	U48		
RF01162	sn668	Small nucleolar RNA sn668	Wilkinson A; 0000-0001-7406-0151;Eberhardt R; 0000-0001-6152-1369	Predicted; WAR; Wilkinson A	Predicted; WAR; Wilkinson A	40.00	40.60	38.40	Gene; snRNA; snoRNA; CD-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 24.80 -Z 549862.597050 CM SEQDB	URL; http://snoopy.med.miyazaki-u.ac.jp/view.cgi?id=CEL30006;;SO; 0001263; ncRNA_gene;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;	[1]	12372436	Location of 2(')-O-methyl nucleotides in 26S rRNA and methylation guide;snoRNAs in Caenorhabditis elegans.	Higa S, Maeda N, Kenmochi N, Tanaka T	Biochem Biophys Res Commun. 2002;297:1344-1349.	Small_nucleolar_RNA	6				
RF03635	mir-2066	mir-2066 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	100.00	104.20	47.10	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001819;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	2	This family represents the microRNA (miRNA) precursor mir-2066 imported;from miRBase.			
RF04074	mir-1199	mir-1199 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	80.00	82.50	71.70	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001659;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	6	This family represents the microRNA (miRNA) precursor mir-1199 imported;from miRBase.			
RF01506	Afu_294	A. fumigatus snoRNA Afu_294	Osuch I	INFERNAL	Predicted; Osuch I;	43.00	43.80	42.10	Gene; snRNA; snoRNA; CD-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0000593; C_D_box_snoRNA;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;	[1]	18346967	Small ncRNA transcriptome analysis from Aspergillus fumigatus suggests a;novel mechanism for regulation of protein synthesis.	Jochl C, Rederstorff M, Hertel J, Stadler PF, Hofacker IL, Schrettl M,;Haas H, Huttenhofer A	Nucleic Acids Res. 2008;36:2677-2689.	Small_nucleolar_RNA	10				
RF03251	mir-4446	mir-4446 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	79.00	79.40	65.40	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 0 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001385;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	5	This family represents the microRNA (miRNA) precursor mir-4446 imported;from miRBase.			
RF03063	Streptomyces-metK	Streptomyces-metK RNA	Weinberg Z; 0000-0002-6681-3624	Weinberg Z	Published; PMID:28977401;	44.20	44.20	41.00	Gene; sRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 26.00 -Z 742849.287494 --mxsize;128 CM SEQDB	SO; 0001263; ncRNA_gene;	[1]	28977401	Detection of 224 candidate structured RNAs by comparative analysis of;specific subsets of intergenic regions.	Weinberg Z, Lunse CE, Corbino KA, Ames TD, Nelson JW, Roth A, Perkins KR,;Sherlock ME, Breaker RR	Nucleic Acids Res. 2017;45:10811-10823.	Streptomyces-metKH_RNA_motif	38	Streptomyces (Actinobacteria). Lineage (Actinomycetales)			
RF04246	MIR169_8	MIR169_8 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	107.00	107.30	71.80	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001712;;SO; 0001244; pre_miRNA;;GO; 0016442; RISC complex;;GO; 0035195; gene silencing by miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	3	Family represents the microRNA (miRNA) precursor MIR169_8 imported from;miRBase.		CL00098	
RF01734	Fluoride	Fluoride riboswitch (crcB)	Weinberg Z; 0000-0002-6681-3624;Ontiveros-Palacios N; 0000-0001-8457-4455	Published; PMID:20230605;	Published; PMID:20230605;	32.00	32.00	31.90	Cis-reg; riboswitch;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	SO; 0000035; riboswitch;;GO; 0010628; positive regulation of gene expression;;GO; 1902617; response to fluoride;	[1];[2];[3];[4]	20230605;22194412;28719589;22678284	Comparative genomics reveals 104 candidate structured RNAs from bacteria,;archaea and their metagenomes.;Widespread genetic switches and toxicity resistance proteins for fluoride.;An excited state underlies gene regulation of a transcriptional;riboswitch.;Fluoride ion encapsulation by Mg2+ ions and phosphates in a fluoride;riboswitch.	Weinberg Z, Wang JX, Bogue J, Yang J, Corbino K, Moy RH, Breaker RR;Baker JL, Sudarsan N, Weinberg Z, Roth A, Stockbridge RB, Breaker RR;Zhao B, Guffy SL, Williams B, Zhang Q;Ren A, Rajashankar KR, Patel DJ	Genome Biol. 2010;11:R31.;Science. 2012;335:233-235.;Nat Chem Biol. 2017;13:968-974.;Nature. 2012;486:85-89.	CrcB_RNA_motif	289	Previously known as crcB RNA. The structure of Fluoride riboswitch has;been reported in PDB:3VRS, 4EN5, 4ENA, 4ENB, 4ENC, 5KH8 [3,4]	crcB;		
RF00847	mir-62	mir-62 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	70.00	85.30	41.00	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000296;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;;GO; 0016442; RISC complex;;GO; 0035195; gene silencing by miRNA;	[1];[2]	19755563;30423142	Repertoire and evolution of miRNA genes in four divergent nematode;species.;miRBase: from microRNA sequences to function.	de Wit E, Linsen SE, Cuppen E, Berezikov E;Kozomara A, Birgaoanu M, Griffiths-Jones S	Genome Res. 2009;19:2064-2074.;Nucleic Acids Res. 2019;47:D155.	Mir-62_microRNA_precursor_family	4	This family represents the microRNA (miRNA) precursor mir-62 imported from;miRBase.			
RF00249	mir-46	mir-46/mir-47/mir-281 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	44.70	44.70	44.40	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 0 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIR; MI0000017;;MIR; MI0000018;;MIR; MI0000366;;MIR; MI0000370;;SO; 0001244; pre_miRNA;;GO; 0035195; gene silencing by miRNA;;GO; 0016442; RISC complex;	[1];[2];[3];[4]	11679671;12844358;12919683;30423142	An abundant class of tiny RNAs with probable regulatory roles in;Caenorhabditis elegans.;Computational identification of Drosophila microRNA genes.;The small RNA profile during Drosophila melanogaster development.;miRBase: from microRNA sequences to function.	Lau NC, Lim LP, Weinstein EG, Bartel DP;Lai EC, Tomancak P, Williams RW, Rubin GM;Aravin AA, Lagos-Quintana M, Yalcin A, Zavolan M, Marks D, Snyder B,;Gaasterland T, Meyer J, Tuschl T;Kozomara A, Birgaoanu M, Griffiths-Jones S	Science 2001;294:858-862.;Genome Biol 2003;4:R42.;Dev Cell 2003;5:337-350.;Nucleic Acids Res. 2019;47:D155.	Mir-46/mir-47/mir-281_microRNA_precursor_family	57	miR-46 (MIR:MI0000017) and miR-47 (MIR:MI0000018) are expressed in C.;elegans from related hairpin precursor sequences [1]. The predicted;hairpin precursor sequences for Drosophila miR-281 (MIR:MI0000366,;MIR:MI0000370) [2,3] are also related and so are also present in this;family. The hairpin precursors (represented here) are predicted based on;base pairing and cross-species conservation -- their extents are not;known. In this case the mature sequences are expressed from the 3' arms of;the hairpin precursors.			
RF02946	cow-rumen-1	cow-rumen-1 RNA	Weinberg Z; 0000-0002-6681-3624	Weinberg Z	Published; PMID:28977401;	53.40	53.40	37.90	Gene; sRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 23.01 -Z 742849.287494 --mxsize;128 CM SEQDB	SO; 0001263; ncRNA_gene;	[1]	28977401	Detection of 224 candidate structured RNAs by comparative analysis of;specific subsets of intergenic regions.	Weinberg Z, Lunse CE, Corbino KA, Ames TD, Nelson JW, Roth A, Perkins KR,;Sherlock ME, Breaker RR	Nucleic Acids Res. 2017;45:10811-10823.	Cow-rumen_RNA_motif	50	cow rumen metagenome. Environment (Cow rumen (57))			
RF03894	mir-5736	mir-5736 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	90.00	96.20	58.30	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001480;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	2	This family represents the microRNA (miRNA) precursor mir-5736 imported;from miRBase.			
RF02348	tracrRNA	Trans-activating crRNA	Eberhardt R; 0000-0001-6152-1369	Published; PMID:22745249	Predicted; PMID:22745249	74.00	76.80	62.80	Gene;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0000655; ncRNA;	[1];[2]	22745249;21455174	A Programmable Dual-RNA-Guided DNA Endonuclease in Adaptive Bacterial;Immunity.;CRISPR RNA maturation by trans-encoded small RNA and host factor RNase;III.	Jinek M, Chylinski K, Fonfara I, Hauer M, Doudna JA, Charpentier E;Deltcheva E, Chylinski K, Sharma CM, Gonzales K, Chao Y, Pirzada ZA,;Eckert MR, Vogel J, Charpentier E	Science. 2012;337:816-821.;Nature. 2011;471:602-607.	Trans-activating_crRNA	35				
RF04279	mir-H20	mir-H20 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	99.00	99.00	53.70	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001760;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	2	This family represents the microRNA (miRNA) precursor mir-H20 imported;from miRBase.		CL00141	
RF03860	MIR1520	MIR1520 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	53.00	53.00	52.90	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000581;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	18	This family represents the microRNA (miRNA) precursor MIR1520 imported;from miRBase.		CL00145	
RF01539	TB11Cs4H1	Trypanosomatid snoRNA TB11Cs4H1	Doniger T; 0000-0001-6708-8404;Michaeli S;Unger R;Osuch I	Predicted; WAR;	Predicted; WAR;	45.00	46.20	43.50	Gene; snRNA; snoRNA; HACA-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0000594; H_ACA_box_snoRNA;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;	[1]	15840815	A genome-wide analysis of C/D and H/ACA-like small nucleolar RNAs in;Trypanosoma brucei reveals a trypanosome-specific pattern of rRNA;modification.	Liang XH, Uliel S, Hury A, Barth S, Doniger T, Unger R, Michaeli S	RNA. 2005;11:619-645.	Trypanosome_H/ACA_box_snoRNAs	5				
RF03438	mir-1956	mir-1956 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	95.00	95.60	81.30	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001470;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	2	This family represents the microRNA (miRNA) precursor mir-1956 imported;from miRBase.			
RF03064	RAGATH-18	RAGATH-18 RNA	Weinberg Z; 0000-0002-6681-3624	Weinberg Z	Published; PMID:28977401;	44.90	45.00	44.30	Gene; sRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 28.12 -Z 742849.287494 CM SEQDB	SO; 0001263; ncRNA_gene;	[1]	28977401	Detection of 224 candidate structured RNAs by comparative analysis of;specific subsets of intergenic regions.	Weinberg Z, Lunse CE, Corbino KA, Ames TD, Nelson JW, Roth A, Perkins KR,;Sherlock ME, Breaker RR	Nucleic Acids Res. 2017;45:10811-10823.	RAGATH_RNA_motifs	1420	Actinobacteria, Firmicutes, Fusobacteria, Thermotogae (1 example). Nearby;to self-cleaving ribozyme genes			
RF03858	mir-1991	mir-1991 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	66.00	66.70	42.10	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000732;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	2	This family represents the microRNA (miRNA) precursor mir-1991 imported;from miRBase.			
RF04241	mir-5014	mir-5014 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	101.00	101.20	99.90	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001634;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	2	Family represents the microRNA (miRNA) precursor mir-5014 imported from;miRBase.			
RF01733	atoC	atoC RNA	Weinberg Z; 0000-0002-6681-3624	Published; PMID:20230605;	Published; PMID:20230605;	50.00	58.20	40.50	Cis-reg;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0005836; regulatory_region;	[1]	20230605	Comparative genomics reveals 104 candidate structured RNAs from bacteria,;archaea and their metagenomes.	Weinberg Z, Wang JX, Bogue J, Yang J, Corbino K, Moy RH, Breaker RR	Genome Biol. 2010;11:R31.	AtoC_RNA_motif	8				
RF04073	mir-727	mir-727 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	104.00	104.00	103.00	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001371;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	5	This family represents the microRNA (miRNA) precursor mir-727 imported;from miRBase.			
